NM2,NM3,NM4,NM5,IDN5
Banskobystrický,Lučenec,Belina,Belina,"802450"
Nitriansky,Topoľčany,Belince,Belince,"802468"
Trnavský,Dunajská Streda,Bellova Ves,Bellova Ves,"802476"
Prešovský,Bardejov,Beloveža,Beloveža,"802484"
Banskobystrický,Banská Štiavnica,Beluj,Beluj,"802492"
Trenčiansky,Púchov,Beluša,Beluša,"802506"
Košický,Košice - okolie,Belža,Belža,"802565"
Žilinský,Liptovský Mikuláš,Beňadiková,Beňadiková,"802573"
Prešovský,Svidník,Beňadikovce,Beňadikovce,"802581"
Žilinský,Námestovo,Beňadovo,Beňadovo,"802590"
Košický,Sobrance,Beňatina,Beňatina,"802603"
Košický,Košice - okolie,Beniakovce,Beniakovce,"802611"
Žilinský,Liptovský Mikuláš,Liptovský Mikuláš,Benice,"802638"
Žilinský,Martin,Benice,Benice,"802654"
Prešovský,Vranov nad Topľou,Benkovce,Benkovce,"802662"
Žilinský,Dolný Kubín,Dolný Kubín,Beňova Lehota,"802671"
Banskobystrický,Brezno,Beňuš,Beňuš,"802689"
Žilinský,Liptovský Mikuláš,Liptovský Trnovec,Beňušovce,"802727"
Bratislavský,Senec,Bernolákovo,Bernolákovo,"802735"
Prešovský,Prešov,Bertotovce,Bertotovce,"802743"
Nitriansky,Levice,Beša,Beša,"802760"
Nitriansky,Levice,Jesenské,Jesenské,"802778"
Košický,Michalovce,Beša,Beša,"802794"
Nitriansky,Nové Zámky,Bešeňov,Bešeňov,"802808"
Žilinský,Ružomberok,Bešeňová,Bešeňová,"802816"
Košický,Spišská Nová Ves,Betlanovce,Betlanovce,"802824"
Košický,Rožňava,Betliar,Betliar,"802841"
Košický,Sobrance,Bežovce,Bežovce,"802867"
Košický,Košice - okolie,Bidovce,Bidovce,"802875"
Košický,Trebišov,Biel,Biel,"802905"
Nitriansky,Levice,Bielovce,Bielovce,"802913"
Trnavský,Trnava,Biely Kostol,Biely Kostol,"802921"
Prešovský,Levoča,Bijacovce,Bijacovce,"802930"
Trnavský,Senica,Bílkove Humence,Bílkove Humence,"802948"
Nitriansky,Nové Zámky,Bíňa,Bíňa,"802956"
Trnavský,Trnava,Bíňovce,Bíňovce,"802972"
Trenčiansky,Bánovce nad Bebravou,Bánovce nad Bebravou,Biskupice,"802981"
Banskobystrický,Lučenec,Biskupice,Biskupice,"802999"
Nitriansky,Topoľčany,Biskupová,Biskupová,"803006"
Žilinský,Žilina,Bitarová,Bitarová,"803014"
Trnavský,Dunajská Streda,Blahová,Blahová,"803022"
Trnavský,Dunajská Streda,Blatná na Ostrove,Blatná na Ostrove,"803031"
Košický,Sobrance,Blatná Polianka,Blatná Polianka,"803057"
Bratislavský,Senec,Blatné,Blatné,"803065"
Košický,Sobrance,Blatné Remety,Blatné Remety,"803073"
Košický,Sobrance,Blatné Revištia,Blatné Revištia,"803090"
Žilinský,Martin,Blatnica,Blatnica,"803103"
Košický,Košice - okolie,Blažice,Blažice,"803111"
Žilinský,Turčianske Teplice,Blažovce,Blažovce,"803146"
Nitriansky,Topoľčany,Blesovce,Blesovce,"803162"
Banskobystrický,Rimavská Sobota,Blhovce,Blhovce,"803171"
Trenčiansky,Trenčín,Bobot,Bobot,"803197"
Trenčiansky,Trenčín,Bobot,Bobotská Lehota,"803201"
Žilinský,Námestovo,Bobrov,Bobrov,"803219"
Žilinský,Liptovský Mikuláš,Bobrovček,Bobrovček,"803227"
Žilinský,Liptovský Mikuláš,Bobrovec,Bobrovec,"803235"
Žilinský,Liptovský Mikuláš,Bobrovník,Bobrovník,"803243"
Žilinský,Liptovský Mikuláš,Liptovský Mikuláš,Bodice,"803286"
Trenčiansky,Považská Bystrica,Bodiná,Bodiná,"803294"
Žilinský,Turčianske Teplice,Bodorová,Bodorová,"803308"
Žilinský,Turčianske Teplice,Bodorová,Kevice,"803316"
Prešovský,Sabinov,Bodovce,Bodovce,"803324"
Košický,Trebišov,Svätá Mária,Svätá Mária,"803332"
Prešovský,Svidník,Bodružal,Bodružal,"803341"
Nitriansky,Komárno,Bodza,Bodza,"803359"
Nitriansky,Komárno,Bodzianske Lúky,Bodzianske Lúky,"803367"
Prešovský,Bardejov,Bogliarka,Bogliarka,"803375"
Nitriansky,Komárno,Hurbanovo,Bohatá,"803383"
Košický,Košice - okolie,Bohdanovce,Bohdanovce,"803413"
Trnavský,Trnava,Bohdanovce nad Trnavou,Bohdanovce nad Trnavou,"803421"
Trnavský,Dunajská Streda,Boheľov,Boheľov,"803430"
Nitriansky,Levice,Bohunice,Bohunice,"803448"
Trenčiansky,Ilava,Bohunice,Bohunice,"803456"
Košický,Rožňava,Bohúňovo,Bohúňovo,"803464"
Košický,Rožňava,Bohúňovo,Tiba,"803472"
Nitriansky,Topoľčany,Bojná,Bojná,"803481"
Nitriansky,Topoľčany,Bojná,Malé Dvorany,"803499"
Trenčiansky,Prievidza,Bojnice,Bojnice,"803511"
Trenčiansky,Prievidza,Bojnice,Dubnica,"803537"
Trnavský,Hlohovec,Bojničky,Bojničky,"803553"
Košický,Trebišov,Boľ,Boľ,"803561"
Bratislavský,Senec,Boldog,Boldog,"803570"
Trnavský,Trnava,Boleráz,Boleráz,"803588"
Trnavský,Trnava,Boleráz,Klčovany,"803596"
Trenčiansky,Ilava,Bolešov,Bolešov,"803600"
Košický,Košice - okolie,Boliarov,Boliarov,"803626"
Banskobystrický,Lučenec,Boľkovce,Boľkovce,"803642"
Žilinský,Turčianske Teplice,Borcová,Borcová,"803669"
Trenčiansky,Bánovce nad Bebravou,Borčany,Borčany,"803677"
Trenčiansky,Ilava,Borčice,Borčice,"803685"
Bratislavský,Malacky,Borinka,Borinka,"803693"
Bratislavský,Malacky,Borinka,Vačková,"803707"
Košický,Rožňava,Bôrka,Bôrka,"803715"
Prešovský,Medzilaborce,Medzilaborce,Borov,"803723"
Trnavský,Trnava,Borová,Borová,"803740"
Trnavský,Piešťany,Borovce,Borovce,"803758"
Trnavský,Senica,Borský Svätý Jur,Borský Svätý Jur,"803766"
Trnavský,Senica,Borský Mikuláš,Borský Mikuláš,"803804"
Trnavský,Senica,Borský Mikuláš,Borský Peter,"803821"
Košický,Trebišov,Borša,Borša,"803847"
Nitriansky,Levice,Bory,Bory,"803855"
Trenčiansky,Nové Mesto nad Váhom,Bošáca,Bošáca,"803863"
Trenčiansky,Nové Mesto nad Váhom,Haluzice,Haluzice,"803871"
Trenčiansky,Partizánske,Bošany,Baštín,"803901"
Trenčiansky,Partizánske,Bošany,Malé Bošany,"803910"
Trenčiansky,Partizánske,Bošany,Veľké Bošany,"803936"
Košický,Trebišov,Boťany,Boťany,"803944"
Banskobystrický,Rimavská Sobota,Bottovo,Bottovo,"803961"
Košický,Trebišov,Parchovany,Božčice,"803987"
Košický,Michalovce,Bracovce,Bracovce,"804002"
Banskobystrický,Rimavská Sobota,Hnúšťa,Brádno,"804011"
Nitriansky,Nitra,Branč,Branč,"804029"
Nitriansky,Nitra,Branč,Veľká Ves,"804037"
Nitriansky,Nové Zámky,Branovo,Branovo,"804045"
Bratislavský,Bratislava I,Bratislava-Staré Mesto,Staré Mesto,"804096"
Bratislavský,Bratislava II,Bratislava-Ružinov,Nivy,"804274"
Bratislavský,Bratislava III,Bratislava-Nové Mesto,Vinohrady,"804380"
Bratislavský,Bratislava III,Bratislava-Nové Mesto,Nové Mesto,"804690"
Bratislavský,Bratislava V,Bratislava-Petržalka,Petržalka,"804959"
Bratislavský,Bratislava IV,Bratislava-Karlova Ves,Karlova Ves,"805211"
Bratislavský,Bratislava IV,Bratislava-Devín,Devín,"805301"
Bratislavský,Bratislava II,Bratislava-Ružinov,Trnávka,"805343"
Bratislavský,Bratislava II,Bratislava-Ružinov,Ružinov,"805556"
Bratislavský,Bratislava III,Bratislava-Vajnory,Vajnory,"805700"
Bratislavský,Bratislava III,Bratislava-Rača,Rača,"805866"
Bratislavský,Bratislava IV,Bratislava-Lamač,Lamač,"806005"
Bratislavský,Bratislava IV,Bratislava-Dúbravka,Dúbravka,"806099"
Banskobystrický,Brezno,Braväcovo,Braväcovo,"806145"
Košický,Rožňava,Brdárka,Brdárka,"806161"
Košický,Trebišov,Brehov,Brehov,"806170"
Banskobystrický,Žarnovica,Brehy,Brehy,"806188"
Prešovský,Humenné,Brekov,Brekov,"806196"
Prešovský,Humenné,Brestov,Brestov,"806218"
Prešovský,Prešov,Brestov,Brestov,"806226"
Prešovský,Medzilaborce,Brestov nad Laborcom,Brestov nad Laborcom,"806234"
Trnavský,Trnava,Brestovany,Malé Brestovany,"806242"
Trnavský,Trnava,Brestovany,Veľké Brestovany,"806251"
Nitriansky,Komárno,Brestovec,Brestovec,"806269"
Trenčiansky,Myjava,Brestovec,Brestovec,"806277"
Prešovský,Prešov,Bretejovce,Bretejovce,"806382"
Košický,Rožňava,Bretka,Bretka,"806391"
Žilinský,Námestovo,Breza,Breza,"806404"
Žilinský,Žilina,Brezany,Brezany,"806412"
Košický,Trebišov,Brezina,Brezina,"806421"
Banskobystrický,Zvolen,Breziny,Breziny,"806447"
Prešovský,Stropkov,Breznica,Breznica,"806463"
Banskobystrický,Poltár,Breznička,Breznička,"806480"
Prešovský,Stropkov,Breznička,Breznička,"806510"
Banskobystrický,Brezno,Brezno,Brezno,"806528"
Trenčiansky,Bánovce nad Bebravou,Brezolupy,Brezolupy,"806722"
Prešovský,Bardejov,Brezov,Brezov,"806731"
Trenčiansky,Myjava,Brezová pod Bradlom,Brezová pod Bradlom,"806749"
Prešovský,Snina,Brezovec,Brezovec,"806820"
Žilinský,Tvrdošín,Brezovica,Brezovica,"806838"
Prešovský,Sabinov,Brezovica,Brezovica,"806846"
Prešovský,Sabinov,Brezovička,Brezovička,"806862"
Prešovský,Bardejov,Brezovka,Brezovka,"806871"
Prešovský,Prešov,Brežany,Brežany,"806889"
Nitriansky,Levice,Brhlovce,Dolné Brhlovce,"806897"
Nitriansky,Levice,Brhlovce,Horné Brhlovce,"806901"
Trenčiansky,Považská Bystrica,Pružina,Briestenné,"806927"
Žilinský,Turčianske Teplice,Brieštie,Brieštie,"806935"
Žilinský,Žilina,Žilina,Brodno,"806951"
Trnavský,Skalica,Brodské,Brodské,"806960"
Trenčiansky,Partizánske,Brodzany,Brodzany,"806978"
Trenčiansky,Nové Mesto nad Váhom,Brunovce,Brunovce,"806986"
Prešovský,Stropkov,Brusnica,Brusnica,"807001"
Banskobystrický,Veľký Krtíš,Brusník,Brusník,"807010"
Prešovský,Levoča,Brutovce,Brutovce,"807028"
Nitriansky,Nové Zámky,Bruty,Bruty,"807036"
Trenčiansky,Považská Bystrica,Brvnište,Brvnište,"807044"
Košický,Rožňava,Brzotín,Brzotín,"807052"
Prešovský,Bardejov,Buclovany,Buclovany,"807061"
Nitriansky,Komárno,Búč,Búč,"807079"
Trnavský,Trnava,Bučany,Bučany,"807109"
Žilinský,Kysucké Nové Mesto,Kysucké Nové Mesto,Budatínska Lehota,"807117"
Banskobystrický,Zvolen,Budča,Budča,"807125"
Banskobystrický,Rimavská Sobota,Budikovany,Budikovany,"807141"
Košický,Košice - okolie,Budimír,Budimír,"807150"
Banskobystrický,Lučenec,Budiná,Budiná,"807176"
Žilinský,Turčianske Teplice,Budiš,Budiš,"807222"
Košický,Michalovce,Budkovce,Budkovce,"807231"
Bratislavský,Pezinok,Budmerice,Budmerice,"807265"
Košický,Košice - okolie,Moldava nad Bodvou,Budulov,"807281"
Prešovský,Levoča,Buglovce,Buglovce,"807290"
Trnavský,Trnava,Buková,Buková,"807303"
Prešovský,Stropkov,Bukovce,Bukovce,"807320"
Trenčiansky,Myjava,Bukovec,Bukovec,"807354"
Košický,Košice - okolie,Bukovec,Bukovec,"807389"
Žilinský,Liptovský Mikuláš,Bukovina,Bukovina,"807401"
Banskobystrický,Žiar nad Hronom,Bzenica,Bukovina,"807419"
Banskobystrický,Lučenec,Bulhary,Bulhary,"807427"
Košický,Košice - okolie,Bunetice,Bunetice,"807435"
Košický,Sobrance,Bunkovce,Bunkovce,"807443"
Banskobystrický,Veľký Krtíš,Bušince,Bušince,"807451"
Prešovský,Kežmarok,Bušovce,Bušovce,"807478"
Košický,Košice - okolie,Buzica,Buzica,"807486"
Banskobystrický,Lučenec,Buzitka,Buzitka,"807508"
Prešovský,Stropkov,Bystrá,Bystrá,"807567"
Košický,Spišská Nová Ves,Bystrany,Bystrany,"807575"
Prešovský,Vranov nad Topľou,Bystré,Bystré,"807591"
Trenčiansky,Prievidza,Bystričany,Bystričany,"807613"
Trenčiansky,Prievidza,Bystričany,Chalmová,"807630"
Trenčiansky,Prievidza,Bystričany,Vieska,"807648"
Banskobystrický,Poltár,Ozdín,Bystrička,"807656"
Žilinský,Martin,Bystrička,Bystrička,"807664"
Košický,Trebišov,Byšta,Byšta,"807681"
Žilinský,Bytča,Bytča,Hliník nad Váhom,"807711"
Žilinský,Bytča,Bytča,Malá Bytča,"807729"
Žilinský,Bytča,Bytča,Mikšová,"807737"
Žilinský,Bytča,Bytča,Veľká Bytča,"807745"
Žilinský,Žilina,Žilina,Bytčica,"807753"
Banskobystrický,Žiar nad Hronom,Bzenica,Bzenica,"807761"
Prešovský,Prešov,Bzenov,Bzenov,"807788"
Nitriansky,Topoľčany,Radošina,Bzince,"807796"
Trenčiansky,Nové Mesto nad Váhom,Bzince pod Javorinou,Dolné Bzince,"807818"
Trenčiansky,Nové Mesto nad Váhom,Bzince pod Javorinou,Horné Bzince,"807826"
Trenčiansky,Nové Mesto nad Váhom,Bzince pod Javorinou,Hrubá Strana,"807834"
Trenčiansky,Nové Mesto nad Váhom,Bzince pod Javorinou,Hrušové,"807842"
Žilinský,Dolný Kubín,Bziny,Bziny,"807885"
Banskobystrický,Krupina,Bzovík,Bzovík,"807893"
Banskobystrický,Zvolen,Bzovská Lehôtka,Bzovská Lehôtka,"807915"
Prešovský,Stropkov,Bžany,Bžany,"807923"
Nitriansky,Nitra,Cabaj-Čápor,Cabaj,"807931"
Prešovský,Vranov nad Topľou,Cabov,Cabov,"807974"
Banskobystrický,Rimavská Sobota,Cakov,Cakov,"807982"
Košický,Trebišov,Cejkov,Cejkov,"807991"
Prešovský,Svidník,Cernina,Cernina,"808008"
Trnavský,Senica,Cerová,Cerová-Lieskové,"808024"
Banskobystrický,Krupina,Cerovo,Cerovo,"808032"
Košický,Košice - okolie,Cestice,Cestice,"808113"
Trnavský,Trnava,Cífer,Cífer,"808130"
Trenčiansky,Prievidza,Cigeľ,Cigeľ,"808156"
Prešovský,Bardejov,Cigeľka,Cigeľka,"808172"
Prešovský,Svidník,Cigla,Cigla,"808199"
Trenčiansky,Bánovce nad Bebravou,Cimenná,Cimenná,"808202"
Banskobystrický,Poltár,Cinobaňa,Cinobaňa,"808211"
Nitriansky,Nitra,Čab,Čab,"808253"
Nitriansky,Nitra,Nové Sady,Sila,"808270"
Prešovský,Medzilaborce,Čabalovce,Čabalovce,"808288"
Prešovský,Medzilaborce,Čabiny,Čabiny,"808300"
Banskobystrický,Krupina,Čabradský Vrbovok,Čabradský Vrbovok,"808318"
Banskobystrický,Banská Bystrica,Čerín,Čačín,"808334"
Žilinský,Čadca,Čadca,Čadca,"808393"
Žilinský,Čadca,Čadca,Horelica,"808512"
Trenčiansky,Nové Mesto nad Váhom,Čachtice,Čachtice,"808555"
Nitriansky,Levice,Čajkov,Čajkov,"808571"
Nitriansky,Levice,Čaka,Čaka,"808580"
Nitriansky,Nitra,Čakajovce,Čakajovce,"808598"
Banskobystrický,Lučenec,Čakanovce,Čakanovce,"808601"
Košický,Košice - okolie,Čakanovce,Čakanovce,"808636"
Trnavský,Dunajská Streda,Čakany,Čakany,"808644"
Prešovský,Vranov nad Topľou,Čaklov,Čaklov,"808661"
Nitriansky,Komárno,Čalovec,Čalovec,"808679"
Trnavský,Dunajská Streda,Veľký Meder,Veľký Meder,"808709"
Banskobystrický,Lučenec,Čamovce,Čamovce,"808733"
Košický,Košice - okolie,Čaňa,Čaňa,"808750"
Nitriansky,Levice,Levice,Čankov,"808768"
Nitriansky,Nitra,Cabaj-Čápor,Čápor,"808776"
Nitriansky,Zlaté Moravce,Čaradice,Čaradice,"808792"
Trnavský,Senica,Čáry,Čáry,"808806"
Bratislavský,Pezinok,Častá,Častá,"808814"
Trnavský,Senica,Častkov,Častkov,"808831"
Trenčiansky,Nové Mesto nad Váhom,Častkovce,Častkovce,"808857"
Nitriansky,Levice,Čata,Čata,"808873"
Bratislavský,Senec,Čataj,Čataj,"808881"
Trenčiansky,Prievidza,Čavoj,Čavoj,"808911"
Banskobystrický,Veľký Krtíš,Čebovce,Čebovce,"808971"
Košický,Michalovce,Čečehov,Čečehov,"808997"
Košický,Košice - okolie,Čečejovce,Čečejovce,"809004"
Nitriansky,Nové Zámky,Čechy,Čechy,"809021"
Banskobystrický,Krupina,Čekovce,Čekovce,"809047"
Nitriansky,Nitra,Čeľadice,Čeľadice,"809098"
Nitriansky,Topoľčany,Čeľadince,Čeľadince,"809101"
Banskobystrický,Veľký Krtíš,Čeláre,Čeláre,"809110"
Trenčiansky,Považská Bystrica,Čelkova Lehota,Čelkova Lehota,"809144"
Banskobystrický,Veľký Krtíš,Čelovce,Čelovce,"809161"
Prešovský,Prešov,Čelovce,Čelovce,"809187"
Košický,Trebišov,Čeľovce,Čeľovce,"809195"
Prešovský,Vranov nad Topľou,Vranov nad Topľou,Čemerné,"809217"
Trenčiansky,Prievidza,Čereňany,Čereňany,"809241"
Banskobystrický,Rimavská Sobota,Čerenčany,Čerenčany,"809268"
Košický,Trebišov,Čerhov,Čerhov,"809276"
Banskobystrický,Banská Bystrica,Čerín,Čerín,"809284"
Nitriansky,Topoľčany,Čermany,Čermany,"809292"
Nitriansky,Nové Zámky,Černík,Černík,"809314"
Prešovský,Humenné,Černina,Černina,"809322"
Košický,Trebišov,Černochov,Černochov,"809331"
Prešovský,Medzilaborce,Čertižné,Čertižné,"809349"
Prešovský,Sabinov,Červená Voda,Červená Voda,"809357"
Banskobystrický,Veľký Krtíš,Červeňany,Červeňany,"809365"
Prešovský,Prešov,Červenica,Červenica,"809381"
Prešovský,Sabinov,Červenica pri Sabinove,Červenica pri Sabinove,"809403"
Trnavský,Hlohovec,Červeník,Červeník,"809411"
Nitriansky,Zlaté Moravce,Červený Hrádok,Červený Hrádok,"809420"
Trenčiansky,Ilava,Červený Kameň,Červený Kameň,"809438"
Prešovský,Kežmarok,Červený Kláštor,Červený Kláštor,"809446"
Banskobystrický,Poltár,České Brezovo,České Brezovo,"809462"
Banskobystrický,Poltár,Zlatno,Zlatno,"809489"
Košický,Michalovce,Čičarovce,Čičarovce,"809497"
Prešovský,Vranov nad Topľou,Čičava,Čičava,"809501"
Žilinský,Žilina,Čičmany,Čičmany,"809519"
Nitriansky,Komárno,Číčov,Číčov,"809527"
Košický,Trebišov,Čierna,Čierna,"809551"
Trenčiansky,Bánovce nad Bebravou,Čierna Lehota,Čierna Lehota,"809560"
Košický,Rožňava,Čierna Lehota,Čierna Lehota,"809586"
Košický,Trebišov,Čierna nad Tisou,Čierna nad Tisou,"809594"
Trnavský,Galanta,Čierna Voda,Čierna Voda,"809616"
Žilinský,Čadca,Čierne,Čierne,"809624"
Nitriansky,Zlaté Moravce,Čierne Kľačany,Čierne Kľačany,"809675"
Prešovský,Vranov nad Topľou,Čierne nad Topľou,Čierne nad Topľou,"809691"
Košický,Michalovce,Čierne Pole,Čierne Pole,"809705"
Banskobystrický,Brezno,Čierny Balog,Čierny Balog,"809713"
Trnavský,Galanta,Čierny Brod,Čierny Brod,"809764"
Trnavský,Galanta,Čierny Brod,Heď,"809772"
Trnavský,Galanta,Čierny Brod,Zúgov,"809799"
Trnavský,Galanta,Čierny Brod,Ostrov,"809802"
Banskobystrický,Rimavská Sobota,Čierny Potok,Čierny Potok,"809811"
Nitriansky,Nitra,Čifáre,Čifáre,"809845"
Trnavský,Dunajská Streda,Čiližská Radvaň,Čiližská Radvaň,"809853"
Žilinský,Tvrdošín,Čimhová,Čimhová,"809870"
Prešovský,Stará Ľubovňa,Čirč,Čirč,"809896"
Banskobystrický,Rimavská Sobota,Číž,Číž,"809900"
Košický,Košice - okolie,Čižatice,Čižatice,"809934"
Košický,Rožňava,Čoltovo,Čoltovo,"809942"
Žilinský,Turčianske Teplice,Čremošné,Čremošné,"809951"
Prešovský,Snina,Čukalovce,Čukalovce,"809969"
Trenčiansky,Bánovce nad Bebravou,Veľké Držkovce,Čuklasovce,"809977"
Bratislavský,Bratislava V,Bratislava-Čunovo,Čunovo,"809985"
Prešovský,Sabinov,Ďačov,Ďačov,"809993"
Banskobystrický,Veľký Krtíš,Dačov Lom,Horný Dačov Lom,"810002"
Banskobystrický,Veľký Krtíš,Dačov Lom,Dolný Dačov Lom,"810037"
Prešovský,Sabinov,Daletice,Daletice,"810045"
Košický,Spišská Nová Ves,Danišovce,Danišovce,"810053"
Žilinský,Martin,Ďanová,Ďanová,"810061"
Prešovský,Vranov nad Topľou,Ďapalovce,Ďapalovce,"810070"
Prešovský,Snina,Stakčín,Dara,"810088"
